,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,B11,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B12,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B13,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B14,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B15,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B16,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B17,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B18,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B19,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B20,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B21,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B22,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B23,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B24,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C01,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C02,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C03,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C04,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C05,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C06,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C07,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C08,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C09,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C10,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C11,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C12,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C13,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C14,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C15,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C16,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C17,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C18,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C19,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C20,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C21,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C22,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C23,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C24,Cy5,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
