Well,Fluor,Cq
P14,FAM,NaN
P15,FAM,NaN
P16,FAM,NaN
P17,FAM,NaN
P18,FAM,NaN
P19,FAM,NaN
P20,FAM,NaN
P21,FAM,NaN
P22,FAM,NaN
P23,FAM,NaN
P24,FAM,NaN
A01,HEX,28.49331403
A02,HEX,NaN
A03,HEX,28.28110835
A04,HEX,NaN
A05,HEX,27.99493024
A06,HEX,NaN
A07,HEX,28.56515225
A08,HEX,NaN
A09,HEX,27.84045974
A10,HEX,NaN
A11,HEX,28.94501847
A12,HEX,NaN
A13,HEX,27.78718211
A14,HEX,NaN
A15,HEX,29.94675573
A16,HEX,NaN
A17,HEX,27.92038403
A18,HEX,NaN
A19,HEX,28.95748187
A20,HEX,NaN
A21,HEX,NaN
A22,HEX,NaN
A23,HEX,NaN
A24,HEX,NaN
B01,HEX,28.53228524
B02,HEX,NaN
B03,HEX,28.27381379
B04,HEX,NaN
B05,HEX,28.06336579
B06,HEX,NaN
B07,HEX,28.59757033
B08,HEX,NaN
B09,HEX,27.83891176
B10,HEX,NaN
B11,HEX,28.80717198
B12,HEX,NaN
B13,HEX,27.79750552
B14,HEX,NaN
B15,HEX,29.81427695
B16,HEX,NaN
B17,HEX,27.92369838
B18,HEX,NaN
B19,HEX,29.04166527
B20,HEX,NaN
B21,HEX,NaN
B22,HEX,NaN
B23,HEX,NaN
B24,HEX,NaN
C01,HEX,28.45781242
C02,HEX,NaN
C03,HEX,28.25961803
C04,HEX,NaN
C05,HEX,27.92413289
C06,HEX,NaN
C07,HEX,28.42915331
C08,HEX,NaN
C09,HEX,27.70760404
C10,HEX,NaN
C11,HEX,28.67692507
C12,HEX,NaN
C13,HEX,27.68515955
C14,HEX,NaN
C15,HEX,29.69421312
C16,HEX,NaN
C17,HEX,27.59825707
C18,HEX,NaN
C19,HEX,28.87283448
C20,HEX,NaN
C21,HEX,NaN
C22,HEX,NaN
C23,HEX,NaN
C24,HEX,NaN
D01,HEX,28.67000924
D02,HEX,NaN
D03,HEX,28.17178959
D04,HEX,NaN
D05,HEX,27.87462719
D06,HEX,NaN
D07,HEX,28.38579576
D08,HEX,NaN
D09,HEX,27.67907366
D10,HEX,NaN
D11,HEX,28.64623134
D12,HEX,NaN
D13,HEX,27.79927017
D14,HEX,NaN
D15,HEX,29.51759593
D16,HEX,NaN
D17,HEX,27.89799854
D18,HEX,NaN
D19,HEX,28.93503128
D20,HEX,NaN
D21,HEX,NaN
D22,HEX,NaN
D23,HEX,NaN
D24,HEX,NaN
E01,HEX,28.49014921
E02,HEX,NaN
E03,HEX,28.13728843
E04,HEX,NaN
E05,HEX,27.80201339
E06,HEX,NaN
E07,HEX,28.17464242
E08,HEX,NaN
E09,HEX,27.58420047
E10,HEX,NaN
E11,HEX,28.58521097
E12,HEX,NaN
E13,HEX,27.54447811
E14,HEX,NaN
E15,HEX,29.50688701
E16,HEX,NaN
E17,HEX,27.73056284
E18,HEX,NaN
E19,HEX,28.66265124
E20,HEX,NaN
E21,HEX,NaN
E22,HEX,NaN
E23,HEX,NaN
E24,HEX,NaN
F01,HEX,28.50048278
F02,HEX,NaN
F03,HEX,28.12865078
F04,HEX,NaN
F05,HEX,27.77475339
F06,HEX,NaN
F07,HEX,28.25494693
F08,HEX,NaN
F09,HEX,27.49704003
F10,HEX,NaN
F11,HEX,28.51205962
F12,HEX,NaN
F13,HEX,27.60632008
F14,HEX,NaN
F15,HEX,29.56463346
F16,HEX,NaN
F17,HEX,27.70213647
F18,HEX,NaN
F19,HEX,28.80633699
F20,HEX,NaN
F21,HEX,NaN
F22,HEX,NaN
F23,HEX,NaN
F24,HEX,NaN
G01,HEX,28.69837
G02,HEX,NaN
G03,HEX,28.47089933
G04,HEX,NaN
G05,HEX,28.03882858
G06,HEX,NaN
G07,HEX,28.48700508
G08,HEX,NaN
G09,HEX,27.78807022
G10,HEX,NaN
G11,HEX,28.69896074
G12,HEX,NaN
G13,HEX,27.68700713
G14,HEX,NaN
G15,HEX,29.64426843
G16,HEX,NaN
G17,HEX,27.8068949
G18,HEX,NaN
G19,HEX,29.01558248
G20,HEX,NaN
G21,HEX,NaN
